# Copyright (C) 1991-2008 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 8.1 Build 163 10/28/2008 SJ Full Version
# File: C:\Users\ATWN_Yhlee\Desktop\lcd-driver-CFAH1602BTMCJP\report\lcd-driver.csv
# Generated on: Wed Jul 03 16:34:22 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,PCB layer
,Unknown,PIN_V21,6,B6_N1,,,,,
,Unknown,PIN_Y28,6,B6_N1,,,,,
,Unknown,PIN_Y27,6,B6_N1,,,,,
,Unknown,PIN_AA29,6,B6_N1,,,,,
,Unknown,PIN_AA30,6,B6_N1,,,,,
,Unknown,PIN_W27,6,B6_N1,,,,,
,Unknown,PIN_W28,6,B6_N1,,,,,
,Unknown,PIN_Y29,6,B6_N1,,,,,
,Unknown,PIN_Y30,6,B6_N1,,,,,
,Unknown,PIN_V23,6,B6_N0,,,,,
,Unknown,PIN_W29,6,B6_N0,,,,,
,Unknown,PIN_W30,6,B6_N0,,,,,
,Unknown,PIN_V28,6,B6_N0,,,,,
,Unknown,PIN_V29,6,B6_N0,,,,,
,Unknown,PIN_V27,6,B6_N0,,,,,
,Unknown,PIN_U25,6,B6_N0,,,,,
,Unknown,PIN_U24,6,B6_N0,,,,,
,Unknown,PIN_U23,6,B6_N0,,,,,
,Unknown,PIN_U29,6,B6_N0,,,,,
,Unknown,PIN_U30,6,B6_N0,,,,,
,Unknown,PIN_U26,6,B6_N0,,,,,
,Unknown,PIN_U27,6,B6_N0,,,,,
,Unknown,PIN_U28,6,B6_N0,,,,,
,Unknown,PIN_U22,6,B6_N0,,,,,
,Unknown,PIN_T28,6,B6_N0,,,,,
,Unknown,PIN_T27,6,B6_N0,,,,,
,Unknown,PIN_T26,6,B6_N0,,,,,
,Unknown,PIN_T25,6,B6_N0,,,,,
,Unknown,PIN_T24,6,B6_N0,,,,,
,Unknown,PIN_R28,5,B5_N3,,,,,
,Unknown,PIN_R29,5,B5_N3,,,,,
,Unknown,PIN_T23,5,B5_N3,,,,,
,Unknown,PIN_T22,5,B5_N3,,,,,
,Unknown,PIN_R24,5,B5_N3,,,,,
,Unknown,PIN_R26,5,B5_N3,,,,,
,Unknown,PIN_R27,5,B5_N3,,,,,
,Unknown,PIN_R23,5,B5_N3,,,,,
,Unknown,PIN_R22,5,B5_N3,,,,,
,Unknown,PIN_R25,5,B5_N3,,,,,
,Unknown,PIN_P29,5,B5_N3,,,,,
,Unknown,PIN_P30,5,B5_N3,,,,,
,Unknown,PIN_P28,5,B5_N3,,,,,
,Unknown,PIN_P27,5,B5_N3,,,,,
,Unknown,PIN_P26,5,B5_N3,,,,,
,Unknown,PIN_P25,5,B5_N3,,,,,
,Unknown,PIN_P24,5,B5_N3,,,,,
,Unknown,PIN_P23,5,B5_N3,,,,,
,Unknown,PIN_N28,5,B5_N3,,,,,
,Unknown,PIN_N29,5,B5_N3,,,,,
,Unknown,PIN_N25,5,B5_N2,,,,,
,Unknown,PIN_N24,5,B5_N2,,,,,
,Unknown,PIN_M29,5,B5_N2,,,,,
,Unknown,PIN_M30,5,B5_N2,,,,,
,Unknown,PIN_P22,5,B5_N2,,,,,
,Unknown,PIN_N22,5,B5_N2,,,,,
,Unknown,PIN_N21,5,B5_N2,,,,,
,Unknown,PIN_M28,5,B5_N2,,,,,
